mean_0,mean_1,mean_2,median_0,median_1,median_2,label
151,153,152,162,153,147,1
153,193,214,158,199,225,1
144,165,197,154,182,205,1
156,203,227,162,209,235,1
162,167,180,176,182,195,1
183,210,232,203,219,242,1
161,166,181,172,179,193,1
112,120,164,108,120,173,1
98,124,156,62,100,152,1
96,123,157,72,121,163,1
109,111,154,100,94,156,1
96,105,142,83,90,143,1
140,164,175,145,177,192,1
132,145,177,140,161,188,1
141,160,177,154,175,193,1
173,191,207,185,210,227,1
157,169,182,167,183,197,1
130,174,200,138,185,210,1
163,169,183,176,189,201,1
171,182,193,176,191,203,1
164,200,216,176,204,226,1
180,187,201,196,207,220,1
175,176,188,187,192,203,1
162,193,228,173,205,238,1
100,163,193,101,167,203,1
146,189,209,148,191,216,1
186,206,215,199,222,232,1
115,163,200,113,172,217,1
110,173,204,107,175,211,1
149,172,201,158,186,209,1
100,143,186,95,147,190,1
170,198,219,178,204,227,1
95,131,170,79,126,172,1
116,164,202,122,180,224,1
150,168,195,165,190,212,1
150,165,180,157,179,194,1
165,185,203,175,199,217,1
171,188,205,183,203,220,1
163,197,216,181,214,236,1
176,189,206,188,206,222,1
151,181,188,178,201,210,1
137,171,201,134,175,212,1
192,202,212,205,219,230,1
131,184,206,142,198,224,1
155,194,211,165,203,220,1
165,197,211,163,199,220,1
165,199,216,170,205,229,1
140,152,167,155,172,192,1
163,197,219,165,205,229,1
129,157,216,136,174,230,1
101,137,152,93,140,154,1
169,196,218,182,212,235,1
133,162,167,132,166,168,0
116,126,129,136,135,137,0
127,139,149,130,147,159,0
112,147,162,100,149,164,0
86,131,138,72,137,143,0
80,128,157,67,136,170,0
110,145,145,97,159,141,0
180,189,184,193,198,196,0
62,69,198,42,45,204,0
80,110,118,77,114,122,0
103,108,181,88,94,174,0
129,151,144,137,189,171,0
125,132,125,119,131,132,0
94,136,217,90,135,220,0
118,189,172,111,203,181,0
87,103,107,78,95,101,0
72,129,148,74,131,145,0
79,139,104,66,130,89,0
127,131,150,124,139,149,0
109,123,160,103,123,177,0
87,144,217,75,134,222,0
97,98,88,97,94,75,0
88,79,59,85,86,48,0
63,85,206,47,72,226,0
69,157,190,33,163,214,0
32,190,247,1,188,254,0
81,116,148,81,124,159,0
48,125,85,37,131,86,0
120,108,103,129,94,67,0
131,138,134,138,147,142,0
89,172,155,81,193,171,0
122,106,109,119,100,90,0
94,56,49,91,48,31,0
56,87,208,41,84,215,0
113,121,114,91,104,91,0
105,112,120,100,110,126,0
97,88,84,98,85,81,0
54,192,226,24,196,236,0
103,113,93,136,127,83,0
112,122,154,127,139,171,0
64,113,152,55,116,161,0
129,148,160,121,151,167,0
91,162,123,79,169,121,0
56,136,136,43,130,131,0
176,162,141,210,166,138,0
74,164,152,63,175,155,0
100,99,109,71,83,98,0
92,85,73,87,77,52,0
