mean_0,mean_1,mean_2,median_0,median_1,median_2,label
133,162,167,132,166,168,1
116,126,129,136,135,137,1
127,139,149,130,147,159,1
112,147,162,100,149,164,1
86,131,138,72,137,143,1
80,128,157,67,136,170,1
110,145,145,97,159,141,1
180,189,184,193,198,196,1
62,69,198,42,45,204,1
80,110,118,77,114,122,1
103,108,181,88,94,174,1
129,151,144,137,189,171,1
125,132,125,119,131,132,1
94,136,217,90,135,220,1
118,189,172,111,203,181,1
87,103,107,78,95,101,1
72,129,148,74,131,145,1
79,139,104,66,130,89,1
127,131,150,124,139,149,1
109,123,160,103,123,177,1
87,144,217,75,134,222,1
97,98,88,97,94,75,1
88,79,59,85,86,48,1
63,85,206,47,72,226,1
69,157,190,33,163,214,1
32,190,247,1,188,254,1
81,116,148,81,124,159,1
48,125,85,37,131,86,1
120,108,103,129,94,67,1
131,138,134,138,147,142,1
89,172,155,81,193,171,1
122,106,109,119,100,90,1
94,56,49,91,48,31,1
56,87,208,41,84,215,1
113,121,114,91,104,91,1
105,112,120,100,110,126,1
97,88,84,98,85,81,1
54,192,226,24,196,236,1
103,113,93,136,127,83,1
112,122,154,127,139,171,1
64,113,152,55,116,161,1
129,148,160,121,151,167,1
91,162,123,79,169,121,1
56,136,136,43,130,131,1
176,162,141,210,166,138,1
74,164,152,63,175,155,1
100,99,109,71,83,98,1
92,85,73,87,77,52,1
