mean_0,mean_1,mean_2,median_0,median_1,median_2,label
151,153,152,162,153,147,1
153,193,214,158,199,225,1
144,165,197,154,182,205,1
156,203,227,162,209,235,1
162,167,180,176,182,195,1
183,210,232,203,219,242,1
161,166,181,172,179,193,1
112,120,164,108,120,173,1
98,124,156,62,100,152,1
96,123,157,72,121,163,1
109,111,154,100,94,156,1
96,105,142,83,90,143,1
140,164,175,145,177,192,1
132,145,177,140,161,188,1
141,160,177,154,175,193,1
173,191,207,185,210,227,1
157,169,182,167,183,197,1
130,174,200,138,185,210,1
163,169,183,176,189,201,1
171,182,193,176,191,203,1
164,200,216,176,204,226,1
180,187,201,196,207,220,1
175,176,188,187,192,203,1
162,193,228,173,205,238,1
100,163,193,101,167,203,1
146,189,209,148,191,216,1
186,206,215,199,222,232,1
115,163,200,113,172,217,1
110,173,204,107,175,211,1
149,172,201,158,186,209,1
100,143,186,95,147,190,1
170,198,219,178,204,227,1
95,131,170,79,126,172,1
116,164,202,122,180,224,1
150,168,195,165,190,212,1
150,165,180,157,179,194,1
165,185,203,175,199,217,1
171,188,205,183,203,220,1
163,197,216,181,214,236,1
176,189,206,188,206,222,1
151,181,188,178,201,210,1
137,171,201,134,175,212,1
192,202,212,205,219,230,1
131,184,206,142,198,224,1
155,194,211,165,203,220,1
165,197,211,163,199,220,1
165,199,216,170,205,229,1
140,152,167,155,172,192,1
163,197,219,165,205,229,1
129,157,216,136,174,230,1
101,137,152,93,140,154,1
169,196,218,182,212,235,1
